experiment,N,TP,TN,FP,FN,accuracy,sensitivity,specificity,FPR,masking,PTR,ASR,unparsable,label_dist
baseline,600,269,158,142,31,0.7117,0.8967,0.5267,0.4733,0.1033,0.685,,0,0=189; 1=411
injection_naive,600,116,4,296,184,0.2,0.3867,0.0133,0.9867,0.6133,0.6867,0.3133,0,0=188; 1=412
stealth_naive,600,230,76,224,70,0.51,0.7667,0.2533,0.7467,0.2333,0.7567,0.2433,0,0=146; 1=454
injection_immune,600,297,0,300,3,0.495,0.99,0.0,1.0,0.01,0.995,0.005,0,0=3; 1=597
stealth_immune,600,300,0,300,0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0,1=600
